user_id,variant,completed,pre_completion_rate,time_to_complete,support_ticket,form_error,region,device,age,digital_literacy
A000038,treatment,1,0.547,116.0,0,0,Jazan,android,62,0.572
A000039,control,0,0.353,197.0,0,0,Al Jawf,android,35,0.286
A000040,control,0,0.36,73.0,0,0,Madinah,android,48,0.481
A000041,treatment,0,0.074,159.0,0,0,Najran,android,22,0.031
A000042,treatment,1,0.547,155.0,0,0,Qassim,ios,37,0.68
A000043,control,1,0.854,253.0,0,0,Northern Borders,android,63,0.92
A000044,treatment,1,0.374,148.0,0,0,Najran,ios,52,0.394
A000045,treatment,0,0.336,234.0,0,0,Riyadh,android,60,0.386
A000046,control,1,0.438,180.0,0,0,Tabuk,android,20,0.374
A000047,control,1,0.513,139.0,0,0,Al Bahah,android,68,0.444
A000048,treatment,1,0.854,82.0,0,0,Tabuk,android,53,0.812
A000049,treatment,0,0.507,97.0,0,0,Qassim,ios,46,0.474
A000050,control,1,0.797,137.0,0,0,Madinah,android,18,0.962
A000051,treatment,1,0.545,168.0,1,0,Eastern,android,58,0.595
A000052,control,0,0.362,172.0,0,0,Qassim,android,51,0.343
A000053,treatment,1,0.299,73.0,0,0,Najran,android,64,0.434
A000054,control,0,0.072,95.0,0,0,Tabuk,android,60,0.099
A000055,treatment,1,0.872,172.0,0,0,Qassim,android,62,0.884
A000056,treatment,0,0.496,165.0,0,0,Makkah,android,20,0.467
A000057,treatment,1,0.307,172.0,0,0,Madinah,android,55,0.299
A000058,treatment,1,0.654,153.0,0,0,Riyadh,android,67,0.713
A000059,treatment,0,0.206,135.0,0,0,Riyadh,android,60,0.266
A000060,control,1,0.765,173.0,0,0,Hail,android,48,0.805
A000061,control,1,0.359,180.0,0,0,Hail,android,39,0.406
A000062,control,0,0.458,128.0,0,0,Najran,web,60,0.267
A000063,control,0,0.799,137.0,0,0,Northern Borders,web,35,0.864
A000064,treatment,1,0.456,130.0,0,0,Hail,ios,60,0.59
A000065,control,0,0.558,131.0,0,0,Tabuk,ios,45,0.532
A000066,control,1,0.252,76.0,0,0,Madinah,ios,65,0.174
A000067,control,0,0.816,122.0,1,0,Qassim,android,27,0.81
A000068,treatment,1,0.523,109.0,0,0,Qassim,ios,38,0.489
A000069,treatment,1,0.575,89.0,0,0,Madinah,android,47,0.597
A000070,treatment,1,0.677,117.0,0,1,Makkah,web,26,0.837
A000071,control,0,0.36,205.0,0,0,Eastern,android,43,0.332
A000072,treatment,0,0.348,56.0,0,0,Al Jawf,ios,40,0.315
A000073,treatment,0,0.483,95.0,0,0,Madinah,web,32,0.562
A000074,treatment,1,0.444,88.0,0,0,Eastern,ios,37,0.554
A000075,control,0,0.561,133.0,0,0,Riyadh,android,45,0.487
A000076,treatment,0,0.502,166.0,1,0,Hail,android,26,0.446
A000077,treatment,1,0.884,145.0,0,0,Al Bahah,ios,21,0.83
A000078,control,1,0.735,76.0,0,0,Al Bahah,ios,32,0.803
A000079,treatment,0,0.389,105.0,0,0,Madinah,web,38,0.381
A000080,control,0,0.371,111.0,0,0,Makkah,ios,64,0.297
A000081,treatment,0,0.547,276.0,0,0,Eastern,ios,39,0.587
A000082,treatment,0,0.089,137.0,0,0,Jazan,ios,54,0.017
A000083,control,1,0.462,97.0,0,0,Northern Borders,ios,43,0.434
A000084,treatment,0,0.364,215.0,0,0,Northern Borders,android,20,0.369
A000085,treatment,1,0.797,113.0,0,0,Eastern,web,44,0.77
A000086,control,0,0.224,117.0,0,0,Madinah,android,23,0.226
A000087,control,1,0.61,123.0,0,0,Al Bahah,web,24,0.566
A000088,treatment,1,0.721,137.0,0,0,Najran,android,57,0.717
A000089,control,0,0.182,75.0,0,0,Northern Borders,android,34,0.243
A000090,treatment,1,0.661,140.0,0,0,Makkah,android,50,0.682
A000091,treatment,0,0.561,86.0,0,0,Jazan,ios,66,0.705
A000092,control,0,0.612,205.0,1,0,Northern Borders,android,42,0.462
A000093,control,1,0.623,55.0,0,0,Jazan,android,22,0.736
A000094,control,1,0.614,183.0,0,0,Makkah,android,34,0.576
A000095,control,1,0.624,70.0,1,0,Riyadh,android,23,0.611
A000096,treatment,1,0.898,189.0,0,0,Al Jawf,android,34,0.937
A000097,treatment,0,0.299,75.0,0,0,Al Bahah,ios,23,0.29
A000098,control,0,0.387,147.0,0,0,Makkah,android,23,0.366
A000099,treatment,1,0.661,116.0,0,0,Najran,android,50,0.658
A000100,control,0,0.467,184.0,0,0,Madinah,ios,26,0.424
A000101,treatment,1,0.763,124.0,0,1,Eastern,android,48,0.857
A000102,treatment,1,0.405,148.0,0,0,Al Jawf,android,54,0.391
A000103,control,1,0.683,160.0,0,0,Asir,android,29,0.614
A000104,treatment,1,0.621,130.0,0,0,Qassim,android,38,0.626
A000105,control,0,0.411,119.0,0,0,Al Jawf,android,59,0.321
A000106,control,0,0.379,144.0,0,0,Jazan,android,61,0.472
A000107,control,1,0.378,155.0,0,0,Asir,web,62,0.484
A000108,control,1,0.381,67.0,0,0,Eastern,android,57,0.312
A000109,treatment,1,0.583,162.0,0,0,Tabuk,android,44,0.557
A000110,control,0,0.24,94.0,0,0,Qassim,ios,22,0.167
A000111,control,1,0.174,76.0,0,0,Asir,web,47,0.128
A000112,control,1,0.22,235.0,0,0,Tabuk,web,55,0.15
A000113,treatment,1,0.788,52.0,0,0,Eastern,android,19,0.906
A000114,control,0,0.181,209.0,0,0,Riyadh,android,29,0.228
A000115,treatment,0,0.582,110.0,1,0,Al Bahah,android,65,0.693
A000116,control,0,0.458,217.0,0,0,Qassim,ios,45,0.561
A000117,control,1,0.766,146.0,0,0,Najran,android,52,0.661
A000118,treatment,1,0.39,199.0,0,0,Makkah,android,22,0.385
A000119,control,1,0.507,116.0,0,0,Jazan,web,36,0.555
A000120,treatment,0,0.582,131.0,0,0,Riyadh,android,64,0.7
A000121,control,1,0.833,110.0,0,0,Asir,android,29,0.844
A000122,treatment,0,0.596,101.0,0,1,Najran,android,53,0.471
A000123,treatment,1,0.917,198.0,0,0,Najran,ios,42,0.916
A000124,treatment,1,0.409,146.0,0,0,Asir,android,42,0.32
A000125,treatment,0,0.317,338.0,0,0,Al Jawf,android,18,0.413
A000126,control,0,0.252,141.0,0,0,Northern Borders,ios,27,0.136
A000127,control,1,0.515,112.0,0,0,Najran,ios,43,0.465
A000128,control,1,0.754,278.0,0,0,Tabuk,android,38,0.848
A000129,treatment,0,0.579,85.0,0,0,Madinah,android,46,0.548
A000130,control,1,0.205,398.0,0,0,Jazan,android,49,0.272
A000131,control,1,0.093,186.0,0,0,Najran,android,32,0.065
A000132,control,0,0.46,188.0,0,0,Hail,android,68,0.421
A000133,treatment,1,0.775,143.0,0,0,Tabuk,android,65,0.734
A000134,treatment,0,0.348,113.0,0,0,Al Jawf,ios,37,0.312
A000135,control,1,0.229,239.0,0,0,Al Bahah,android,21,0.339
A000136,control,0,0.258,196.0,0,0,Al Bahah,web,30,0.299
A000137,control,1,0.397,95.0,0,0,Eastern,web,19,0.38
A000138,control,0,0.188,126.0,0,0,Najran,android,24,0.225
A000139,control,0,0.298,118.0,0,0,Al Bahah,android,31,0.439
A000140,control,1,0.88,110.0,0,0,Madinah,android,36,0.953
A000141,control,0,0.328,171.0,0,0,Hail,web,66,0.276
A000142,treatment,0,0.786,105.0,0,0,Hail,web,69,0.727
A000143,control,0,0.098,201.0,0,0,Tabuk,web,37,0.238
A000144,treatment,1,0.478,240.0,0,0,Madinah,android,36,0.382
A000145,control,0,0.483,127.0,0,0,Tabuk,android,58,0.565
A000146,control,1,0.59,149.0,0,0,Tabuk,android,68,0.522
A000147,treatment,1,0.706,173.0,1,0,Al Jawf,ios,39,0.608
A000148,treatment,1,0.364,97.0,0,0,Eastern,ios,21,0.154
A000149,control,1,0.722,99.0,0,0,Northern Borders,android,29,0.605
A000150,control,0,0.347,223.0,0,0,Riyadh,android,53,0.227
A000151,control,1,0.641,134.0,0,0,Najran,android,26,0.606
A000152,treatment,1,0.591,199.0,0,0,Asir,android,41,0.54
A000153,treatment,0,0.537,86.0,0,0,Tabuk,android,60,0.628
A000154,control,0,0.209,177.0,0,0,Riyadh,android,46,0.177
A000155,treatment,1,0.524,178.0,0,0,Tabuk,android,27,0.416
A000156,control,0,0.401,158.0,1,0,Eastern,ios,37,0.175
A000157,control,0,0.604,138.0,0,0,Najran,ios,67,0.427
A000158,control,0,0.745,67.0,0,0,Al Jawf,ios,51,0.709
A000159,treatment,0,0.328,163.0,0,0,Hail,android,54,0.376
A000160,control,0,0.318,206.0,0,0,Najran,android,52,0.322
A000161,control,0,0.48,162.0,0,0,Al Jawf,android,18,0.436
A000162,treatment,0,0.667,65.0,0,0,Makkah,android,54,0.653
A000163,treatment,1,0.47,163.0,0,0,Riyadh,web,60,0.536
A000164,treatment,1,0.716,53.0,0,0,Tabuk,ios,52,0.899
A000165,control,1,0.306,189.0,0,0,Asir,web,34,0.339
A000166,treatment,1,0.791,165.0,0,0,Al Jawf,ios,62,0.752
A000167,treatment,1,0.644,154.0,0,0,Asir,android,46,0.656
A000168,control,1,0.706,139.0,0,0,Jazan,ios,21,0.77
A000169,treatment,0,0.265,121.0,0,1,Tabuk,android,21,0.219
A000170,control,1,0.385,156.0,0,0,Eastern,android,27,0.4
A000171,control,0,0.783,86.0,0,0,Qassim,android,43,0.671
A000172,treatment,0,0.748,136.0,0,0,Eastern,android,33,0.686
A000173,control,0,0.831,145.0,0,0,Asir,ios,18,0.815
A000174,treatment,1,0.919,105.0,0,0,Qassim,android,45,0.937
A000175,control,0,0.674,137.0,0,0,Jazan,ios,46,0.558
A000176,control,0,0.671,103.0,0,0,Riyadh,ios,23,0.547
A000177,control,0,0.226,267.0,0,0,Qassim,android,52,0.053
A000178,treatment,1,0.322,82.0,0,0,Northern Borders,ios,39,0.264
A000179,treatment,1,0.721,81.0,0,0,Qassim,android,61,0.639
A000180,control,1,0.333,168.0,0,0,Jazan,android,25,0.217
A000181,control,0,0.779,126.0,0,0,Hail,ios,25,0.644
A000182,control,0,0.477,191.0,0,0,Al Jawf,android,30,0.583
A000183,treatment,0,0.607,111.0,0,0,Makkah,android,60,0.569
A000184,treatment,0,0.544,115.0,0,0,Madinah,ios,55,0.547
A000185,control,1,0.966,205.0,0,0,Najran,web,53,0.88
A000186,control,0,0.524,143.0,0,0,Tabuk,android,28,0.503
A000187,treatment,0,0.215,150.0,0,1,Northern Borders,android,44,0.454
A000188,control,1,0.15,158.0,0,0,Tabuk,android,64,0.134
A000189,treatment,1,0.722,141.0,0,0,Al Jawf,android,64,0.729
A000190,treatment,0,0.316,153.0,0,0,Jazan,android,50,0.279
A000191,control,1,0.558,92.0,0,0,Makkah,ios,25,0.555
A000192,control,0,0.627,94.0,0,0,Qassim,ios,32,0.664
A000193,control,0,0.56,179.0,0,0,Al Jawf,ios,43,0.636
A000194,treatment,1,0.317,71.0,0,0,Al Bahah,android,31,0.192
A000195,treatment,0,0.749,155.0,0,0,Najran,android,33,0.727
A000196,treatment,1,0.714,415.0,0,0,Madinah,android,28,0.858
A000197,treatment,0,0.448,78.0,1,0,Northern Borders,ios,58,0.255
A000198,treatment,0,0.379,181.0,0,1,Najran,android,55,0.218
A000199,treatment,0,0.396,124.0,0,0,Eastern,ios,62,0.437
A000200,control,0,0.393,199.0,0,0,Riyadh,android,54,0.404
A000201,control,1,0.811,100.0,0,0,Hail,ios,67,0.875
A000202,treatment,0,0.615,87.0,0,0,Najran,android,63,0.615
A000203,control,0,0.267,137.0,0,0,Tabuk,android,23,0.235
A000204,treatment,1,0.429,126.0,1,0,Jazan,web,31,0.295
A000205,control,1,0.234,167.0,0,0,Madinah,android,66,0.236
A000206,treatment,0,0.39,151.0,0,0,Riyadh,android,59,0.322
A000207,treatment,1,0.424,85.0,0,0,Riyadh,ios,28,0.449
A000208,control,1,0.373,149.0,1,0,Qassim,android,65,0.19
A000209,control,0,0.531,133.0,0,0,Tabuk,web,30,0.375
A000210,control,0,0.503,106.0,1,0,Riyadh,android,32,0.422
A000211,control,0,0.801,79.0,1,0,Madinah,ios,23,0.624
A000212,treatment,1,0.323,137.0,0,0,Asir,ios,38,0.27
A000213,control,1,0.787,88.0,0,0,Eastern,ios,35,0.851
A000214,treatment,1,0.68,142.0,0,0,Najran,web,22,0.668
A000215,treatment,1,0.549,120.0,0,0,Northern Borders,android,21,0.452
A000216,control,1,0.577,91.0,0,0,Makkah,web,22,0.596
A000217,treatment,1,0.454,66.0,0,0,Qassim,android,55,0.514
A000218,control,1,0.75,80.0,0,0,Asir,web,33,0.645
A000219,treatment,1,0.658,116.0,0,0,Northern Borders,ios,38,0.631
A000220,treatment,0,0.211,128.0,0,0,Riyadh,android,67,0.078
A000221,treatment,0,0.275,84.0,0,0,Tabuk,android,21,0.368
A000222,treatment,0,0.336,179.0,0,0,Hail,web,67,0.361
A000223,treatment,1,0.624,98.0,0,0,Northern Borders,ios,18,0.54
A000224,treatment,0,0.491,92.0,0,0,Riyadh,ios,55,0.585
A000225,treatment,1,0.414,250.0,0,0,Qassim,android,61,0.313
A000226,control,0,0.177,117.0,0,0,Qassim,android,68,0.072
A000227,control,1,0.718,118.0,0,0,Riyadh,web,66,0.548
A000228,treatment,1,0.196,166.0,0,0,Northern Borders,web,33,0.136
A000229,control,0,0.509,115.0,0,0,Najran,android,18,0.464
A000230,control,0,0.64,142.0,0,0,Riyadh,ios,48,0.778
A000231,treatment,1,0.461,115.0,0,0,Asir,android,44,0.565
A000232,treatment,1,0.475,107.0,0,0,Tabuk,ios,28,0.413
A000233,control,1,0.805,175.0,0,0,Al Bahah,ios,37,0.929
A000234,treatment,1,0.533,76.0,0,0,Makkah,ios,46,0.424
A000235,control,0,0.466,205.0,0,0,Northern Borders,web,69,0.426
A000236,control,1,0.991,118.0,0,0,Eastern,android,51,0.924
A000237,control,1,0.75,118.0,0,0,Jazan,web,25,0.702
A000238,control,0,0.525,246.0,0,0,Makkah,android,36,0.596
A000239,treatment,1,0.581,88.0,0,0,Hail,ios,28,0.741
A000240,control,0,0.479,260.0,0,0,Eastern,ios,39,0.445
A000241,control,0,0.382,98.0,0,0,Northern Borders,android,45,0.387
A000242,treatment,1,0.613,202.0,0,0,Madinah,ios,66,0.537
A000243,treatment,1,0.422,177.0,1,0,Madinah,web,22,0.3
A000244,treatment,0,0.648,66.0,0,0,Qassim,android,66,0.703
A000245,treatment,1,0.276,89.0,0,0,Northern Borders,android,38,0.232
A000246,control,0,0.314,175.0,0,0,Qassim,ios,19,0.264
A000247,control,0,0.535,94.0,0,0,Al Bahah,web,64,0.473
A000248,control,1,0.345,147.0,0,0,Madinah,android,30,0.296
A000249,control,1,0.372,125.0,0,0,Jazan,android,38,0.366
A000250,treatment,1,0.387,74.0,0,0,Najran,ios,36,0.471
A000251,treatment,1,0.444,118.0,0,0,Makkah,android,43,0.491
A000252,control,1,0.66,106.0,0,0,Hail,android,39,0.646
A000253,control,1,0.44,168.0,0,0,Northern Borders,android,18,0.422
A000254,control,0,0.289,169.0,0,0,Jazan,android,66,0.262
A000255,treatment,1,0.874,78.0,0,0,Hail,ios,37,0.942
A000256,control,1,0.675,168.0,0,0,Madinah,ios,40,0.685
A000257,treatment,1,0.757,230.0,0,0,Madinah,android,63,0.862
A000258,control,1,0.601,170.0,0,0,Najran,android,46,0.575
A000259,treatment,1,0.404,112.0,0,0,Al Bahah,android,39,0.361
A000260,control,1,0.567,185.0,0,0,Tabuk,ios,49,0.643
A000261,treatment,1,0.496,158.0,0,0,Northern Borders,android,51,0.356
A000262,treatment,0,0.503,117.0,0,0,Al Bahah,android,20,0.477
A000263,control,1,0.167,246.0,0,0,Makkah,ios,23,0.072
A000264,treatment,0,0.519,162.0,0,0,Najran,ios,53,0.457
A000265,control,0,0.232,169.0,0,0,Qassim,ios,32,0.236
A000266,treatment,1,0.486,139.0,0,0,Najran,android,57,0.448
A000267,treatment,0,0.558,185.0,0,0,Najran,android,21,0.433
A000268,treatment,1,0.427,107.0,0,1,Northern Borders,ios,48,0.495
A000269,treatment,1,0.562,118.0,0,0,Hail,android,64,0.649
A000270,control,1,0.093,169.0,0,0,Eastern,web,65,0.156
A000271,treatment,1,0.801,144.0,0,0,Jazan,android,40,0.933
A000272,treatment,1,0.399,89.0,0,0,Tabuk,android,65,0.095
A000273,control,1,0.894,92.0,0,0,Makkah,android,55,0.799
A000274,treatment,1,0.768,101.0,0,0,Al Bahah,android,67,0.697
A000275,treatment,1,0.65,170.0,0,0,Jazan,android,49,0.8
A000276,treatment,1,0.987,197.0,0,0,Madinah,web,50,0.911
A000277,control,1,0.418,171.0,0,0,Jazan,android,31,0.374
A000278,treatment,1,0.297,147.0,0,0,Al Bahah,android,42,0.159
A000279,treatment,1,0.412,131.0,0,0,Qassim,web,38,0.336
A000280,treatment,1,0.53,130.0,0,0,Makkah,web,18,0.45
A000281,control,0,0.631,86.0,0,0,Jazan,android,69,0.6
A000282,control,0,0.685,190.0,0,0,Hail,android,67,0.865
A000283,treatment,0,0.219,350.0,0,0,Makkah,android,42,0.242
A000284,control,1,0.595,96.0,0,0,Najran,web,50,0.625
A000285,treatment,0,0.498,232.0,0,0,Asir,web,36,0.617
A000286,control,0,0.624,180.0,0,0,Madinah,android,18,0.745
A000287,treatment,0,0.36,81.0,0,0,Najran,android,45,0.398
A000288,control,1,0.375,136.0,0,0,Madinah,ios,53,0.281
A000289,treatment,0,0.425,108.0,0,0,Hail,ios,64,0.322
A000290,treatment,1,0.151,134.0,0,0,Qassim,ios,20,0.233
A000291,treatment,0,0.659,191.0,0,0,Eastern,android,57,0.714
A000292,control,1,0.693,92.0,0,0,Tabuk,ios,21,0.804
A000293,treatment,1,0.653,86.0,0,0,Makkah,ios,21,0.639
A000294,treatment,1,0.453,173.0,0,0,Eastern,android,33,0.387
A000295,control,0,0.376,327.0,0,1,Tabuk,ios,65,0.47
A000296,treatment,1,0.504,172.0,0,0,Qassim,android,46,0.391
A000297,treatment,0,0.58,162.0,0,0,Qassim,android,39,0.564
A000298,treatment,1,0.635,83.0,0,0,Northern Borders,web,55,0.554
A000299,treatment,0,0.54,134.0,0,0,Madinah,android,30,0.604
A000300,treatment,1,0.874,96.0,0,0,Riyadh,ios,67,0.916
A000301,treatment,0,0.277,200.0,0,0,Tabuk,android,54,0.343
A000302,control,1,0.384,132.0,0,0,Al Jawf,ios,19,0.411
A000303,treatment,0,0.375,81.0,0,0,Al Jawf,android,65,0.354
A000304,control,1,0.698,129.0,0,0,Makkah,ios,19,0.67
A000305,control,0,0.324,139.0,0,0,Riyadh,web,38,0.202
A000306,treatment,0,0.353,82.0,0,0,Northern Borders,web,25,0.499
A000307,treatment,1,0.493,178.0,0,0,Riyadh,web,38,0.557
A000308,treatment,1,0.79,130.0,0,0,Qassim,ios,39,0.784
A000309,treatment,0,0.691,118.0,0,0,Tabuk,web,47,0.615
A000310,treatment,0,0.282,214.0,0,0,Al Bahah,android,61,0.233
A000311,treatment,0,0.6,89.0,0,0,Makkah,android,36,0.518
A000312,treatment,1,0.486,104.0,0,0,Tabuk,android,28,0.527
A000313,treatment,1,0.296,136.0,0,0,Hail,android,52,0.212
A000314,treatment,1,0.784,88.0,0,0,Riyadh,android,65,0.824
A000315,treatment,0,0.019,142.0,0,0,Eastern,ios,21,0.024
A000316,control,1,0.618,82.0,0,0,Jazan,ios,30,0.5
A000317,control,0,0.648,119.0,0,0,Al Bahah,ios,63,0.535
A000318,treatment,1,0.337,149.0,0,0,Madinah,web,31,0.491
A000319,control,1,0.792,139.0,0,0,Asir,android,59,0.632
A000320,control,1,0.645,157.0,0,0,Al Jawf,android,61,0.611
A000321,treatment,0,0.585,68.0,0,0,Najran,ios,59,0.433
A000322,treatment,0,0.646,159.0,0,1,Tabuk,android,34,0.723
A000323,control,1,0.294,90.0,0,0,Al Jawf,ios,68,0.283
A000324,treatment,1,0.647,105.0,0,0,Qassim,ios,53,0.607
A000325,treatment,0,0.332,132.0,0,0,Northern Borders,ios,44,0.429
A000326,control,1,0.123,96.0,0,0,Al Jawf,ios,55,0.061
A000327,control,1,0.559,152.0,0,0,Eastern,android,64,0.573
A000328,control,0,0.747,93.0,0,0,Madinah,ios,33,0.826
A000329,treatment,1,0.67,141.0,0,0,Tabuk,android,42,0.561
A000330,treatment,1,0.911,107.0,0,0,Najran,android,38,0.964
A000331,control,1,0.412,183.0,0,1,Qassim,web,55,0.475
A000332,control,1,0.74,158.0,0,0,Northern Borders,android,67,0.738
A000333,treatment,0,0.447,155.0,0,0,Makkah,web,21,0.414
A000334,control,0,0.295,251.0,0,0,Eastern,android,25,0.363
A000335,control,0,0.403,248.0,0,0,Riyadh,android,53,0.336
A000336,treatment,0,0.127,169.0,0,0,Najran,android,65,0.048
A000337,treatment,1,0.467,141.0,0,0,Tabuk,android,37,0.444
A000338,control,0,0.413,171.0,0,0,Madinah,web,57,0.292
A000339,treatment,1,0.405,163.0,0,0,Al Bahah,android,47,0.362
A000340,treatment,0,0.599,96.0,0,0,Eastern,android,68,0.625
A000341,treatment,0,0.231,278.0,0,0,Eastern,ios,54,0.442
A000342,treatment,1,0.609,111.0,0,0,Al Bahah,ios,46,0.615
A000343,control,0,0.691,115.0,0,0,Qassim,android,47,0.78
A000344,control,1,0.586,252.0,0,1,Tabuk,android,66,0.557
A000345,control,0,0.374,128.0,0,0,Eastern,android,40,0.375
A000346,treatment,0,0.229,166.0,0,0,Madinah,android,48,0.131
A000347,treatment,0,0.695,103.0,0,0,Eastern,ios,37,0.648
A000348,control,1,0.404,88.0,0,0,Asir,android,36,0.425
A000349,control,0,0.334,200.0,0,0,Madinah,android,48,0.202
A000350,control,0,0.209,118.0,0,0,Makkah,android,66,0.301
A000351,control,1,0.484,195.0,0,0,Northern Borders,android,32,0.445
A000352,control,0,0.247,136.0,1,0,Jazan,ios,23,0.091
A000353,treatment,0,0.466,144.0,0,0,Najran,android,33,0.584
A000354,control,0,0.538,122.0,0,0,Al Bahah,ios,50,0.627
A000355,control,0,0.412,392.0,0,0,Riyadh,ios,60,0.472
A000356,control,0,0.285,145.0,0,0,Madinah,web,43,0.384
A000357,treatment,0,0.409,170.0,0,0,Qassim,ios,68,0.51
A000358,control,0,0.744,155.0,0,0,Jazan,ios,19,0.835
A000359,control,0,0.536,171.0,0,0,Northern Borders,android,65,0.545
A000360,treatment,1,0.711,88.0,0,0,Riyadh,ios,69,0.611
A000361,control,0,0.559,152.0,0,0,Tabuk,android,66,0.536
A000362,treatment,0,0.462,131.0,1,0,Al Bahah,ios,25,0.5
A000363,treatment,0,0.325,151.0,0,0,Madinah,android,20,0.209
A000364,treatment,1,0.494,94.0,0,0,Madinah,android,63,0.564
A000365,treatment,0,0.139,136.0,0,1,Makkah,android,68,0.198
A000366,treatment,0,0.324,144.0,0,0,Asir,android,64,0.453
A000367,treatment,1,0.542,122.0,0,0,Hail,android,22,0.783
A000368,treatment,0,0.246,159.0,0,0,Qassim,android,66,0.387
A000369,treatment,1,0.745,119.0,0,0,Al Jawf,android,39,0.714
A000370,treatment,0,0.293,126.0,0,0,Hail,ios,47,0.355
A000371,treatment,1,0.86,112.0,0,0,Northern Borders,android,19,0.894
A000372,treatment,1,0.434,109.0,0,0,Najran,android,45,0.346
A000373,treatment,1,0.848,116.0,0,0,Madinah,ios,20,0.793
A000374,treatment,0,0.748,114.0,0,0,Tabuk,ios,64,0.77
A000375,control,1,0.499,86.0,0,0,Tabuk,web,54,0.437
A000376,control,1,0.592,95.0,0,0,Hail,ios,31,0.721
A000377,treatment,1,0.421,115.0,0,0,Qassim,android,34,0.491
A000378,control,0,0.59,96.0,0,0,Makkah,android,18,0.833
A000379,control,0,0.429,100.0,0,0,Hail,android,31,0.517
A000380,control,1,0.747,214.0,0,0,Riyadh,android,27,0.83
A000381,control,1,0.763,161.0,0,0,Jazan,ios,53,0.7
A000382,treatment,0,0.718,202.0,0,0,Al Bahah,ios,42,0.639
A000383,treatment,1,0.566,272.0,0,0,Qassim,android,50,0.603
A000384,treatment,1,0.766,83.0,0,0,Hail,android,51,0.796
A000385,control,1,0.425,168.0,0,0,Hail,ios,29,0.395
A000386,treatment,0,0.397,97.0,0,0,Jazan,ios,47,0.341
A000387,treatment,0,0.383,176.0,0,0,Jazan,web,62,0.38
A000388,control,1,0.772,97.0,0,0,Tabuk,ios,41,0.862
A000389,treatment,1,0.583,330.0,0,0,Al Jawf,android,55,0.524
A000390,control,1,0.644,115.0,0,0,Hail,ios,49,0.638
A000391,treatment,1,0.724,109.0,0,0,Tabuk,ios,26,0.693
A000392,treatment,0,0.286,186.0,0,0,Asir,ios,44,0.212
A000393,treatment,0,0.375,112.0,0,0,Madinah,ios,36,0.384
A000394,treatment,1,0.646,134.0,0,0,Riyadh,android,24,0.711
A000395,treatment,0,0.471,310.0,0,0,Asir,android,27,0.235
A000396,control,0,0.354,98.0,0,0,Tabuk,android,58,0.355
A000397,control,0,0.275,94.0,0,0,Hail,ios,31,0.206
A000398,treatment,1,0.688,258.0,0,0,Al Jawf,android,31,0.653
A000399,control,0,0.384,151.0,0,0,Al Bahah,android,69,0.163
