user_id,variant,completed,pre_completion_rate,time_to_complete,support_ticket,upload_error,region,device,age,digital_literacy
E000028,control,0,0.053,109.0,0,0,Qassim,web,57,0.117
E000029,treatment,0,0.758,183.0,0,0,Makkah,ios,66,0.765
E000030,control,0,0.235,101.0,0,0,Makkah,android,58,0.135
E000031,treatment,0,0.309,159.0,0,0,Eastern,android,53,0.387
E000032,treatment,0,0.219,98.0,0,0,Al Bahah,ios,48,0.286
E000033,control,1,0.3,174.0,0,0,Al Bahah,android,53,0.273
E000034,treatment,1,0.492,156.0,0,0,Al Jawf,ios,39,0.462
E000035,control,1,0.525,91.0,0,0,Makkah,ios,64,0.547
E000036,control,1,0.179,154.0,0,0,Makkah,ios,41,0.183
E000037,treatment,0,0.304,198.0,0,0,Jazan,android,49,0.257
E000038,treatment,1,0.477,211.0,0,0,Makkah,android,23,0.449
E000039,control,1,0.641,107.0,0,0,Riyadh,web,52,0.795
E000040,control,0,0.337,91.0,0,0,Makkah,ios,37,0.222
E000041,treatment,1,0.558,119.0,0,0,Qassim,android,38,0.464
E000042,treatment,1,0.814,252.0,0,0,Makkah,ios,27,0.781
E000043,control,1,0.783,73.0,0,0,Al Jawf,android,22,0.852
E000044,treatment,0,0.686,162.0,0,0,Eastern,android,45,0.624
E000045,control,1,0.657,114.0,0,0,Eastern,web,40,0.704
E000046,treatment,1,0.605,185.0,0,0,Eastern,ios,40,0.62
E000047,control,0,0.504,245.0,0,0,Riyadh,web,47,0.562
E000048,control,1,0.471,256.0,1,0,Eastern,android,43,0.524
E000049,treatment,1,0.319,152.0,0,0,Jazan,ios,38,0.204
E000050,control,0,0.425,179.0,0,0,Madinah,android,60,0.436
E000051,treatment,1,0.251,161.0,0,0,Riyadh,web,38,0.378
E000052,treatment,0,0.266,247.0,0,0,Madinah,android,60,0.346
E000053,treatment,1,0.685,245.0,0,0,Eastern,ios,64,0.651
E000054,control,0,0.671,138.0,0,0,Eastern,web,49,0.678
E000055,treatment,1,0.582,117.0,0,0,Jazan,android,57,0.446
E000056,treatment,0,0.554,132.0,0,0,Madinah,android,55,0.731
E000057,control,1,0.547,215.0,0,1,Riyadh,ios,69,0.493
E000058,control,1,0.927,166.0,0,0,Najran,ios,28,0.896
E000059,control,1,0.613,158.0,0,0,Riyadh,android,68,0.518
E000060,treatment,0,0.322,183.0,0,0,Makkah,web,38,0.166
E000061,treatment,0,0.587,120.0,0,0,Jazan,android,31,0.577
E000062,treatment,1,0.546,86.0,0,0,Makkah,android,22,0.567
E000063,control,0,0.195,309.0,0,0,Asir,web,37,0.163
E000064,treatment,1,0.196,188.0,0,0,Al Bahah,ios,61,0.138
E000065,control,0,0.111,178.0,0,0,Makkah,web,36,0.222
E000066,treatment,1,0.507,175.0,0,0,Tabuk,android,24,0.621
E000067,control,1,0.232,100.0,0,0,Makkah,ios,41,0.181
E000068,control,0,0.515,100.0,0,0,Riyadh,ios,23,0.415
E000069,control,0,0.557,140.0,0,1,Qassim,ios,41,0.622
E000070,control,1,0.284,291.0,0,0,Riyadh,android,24,0.281
E000071,control,0,0.648,146.0,1,0,Najran,web,20,0.571
E000072,treatment,1,0.542,168.0,0,0,Eastern,android,43,0.361
E000073,treatment,1,0.326,187.0,0,0,Jazan,ios,51,0.375
E000074,control,1,0.427,244.0,0,0,Makkah,android,67,0.585
E000075,treatment,1,0.787,93.0,0,0,Najran,android,38,0.753
E000076,treatment,1,0.379,154.0,0,0,Makkah,android,23,0.384
E000077,control,1,0.329,175.0,0,0,Riyadh,ios,34,0.336
E000078,control,0,0.323,200.0,0,0,Qassim,ios,35,0.265
E000079,control,0,0.566,156.0,0,0,Jazan,ios,35,0.652
E000080,treatment,1,0.455,171.0,0,0,Riyadh,android,42,0.447
E000081,control,1,0.211,205.0,0,0,Riyadh,web,40,0.083
E000082,control,1,0.714,232.0,0,0,Al Jawf,android,24,0.635
E000083,control,1,0.136,251.0,0,0,Riyadh,android,44,0.27
E000084,treatment,1,0.624,135.0,0,0,Makkah,android,67,0.614
E000085,control,1,0.259,194.0,0,0,Al Jawf,web,48,0.327
E000086,treatment,1,0.761,109.0,0,0,Riyadh,android,22,0.649
E000087,control,1,0.261,223.0,0,0,Riyadh,web,69,0.212
E000088,treatment,0,0.218,57.0,0,0,Eastern,ios,23,0.304
E000089,control,1,0.741,105.0,0,0,Qassim,ios,31,0.828
E000090,control,1,0.745,128.0,0,0,Riyadh,ios,58,0.699
E000091,treatment,1,0.506,93.0,0,0,Madinah,android,45,0.559
E000092,treatment,0,0.838,122.0,0,0,Eastern,android,45,0.901
E000093,treatment,1,0.696,115.0,0,0,Makkah,ios,23,0.564
E000094,treatment,1,0.796,120.0,0,0,Makkah,ios,31,0.73
E000095,treatment,1,0.626,175.0,0,0,Makkah,ios,24,0.561
E000096,control,1,0.931,135.0,1,0,Riyadh,android,30,0.886
E000097,treatment,0,0.197,203.0,0,0,Al Bahah,web,46,0.129
E000098,treatment,0,0.708,261.0,0,0,Jazan,android,56,0.725
E000099,control,1,0.75,149.0,0,1,Riyadh,android,46,0.775
E000100,control,1,0.818,128.0,0,0,Riyadh,android,57,0.864
E000101,treatment,1,0.529,175.0,0,0,Riyadh,web,55,0.445
E000102,treatment,1,0.402,158.0,0,0,Madinah,ios,41,0.299
E000103,control,0,0.245,139.0,0,0,Riyadh,ios,66,0.254
E000104,control,0,0.27,168.0,0,0,Makkah,android,21,0.318
E000105,treatment,0,0.511,76.0,0,0,Tabuk,web,36,0.535
E000106,treatment,0,0.133,249.0,0,0,Makkah,ios,67,0.145
E000107,treatment,0,0.274,79.0,0,0,Riyadh,web,57,0.186
E000108,control,1,0.473,81.0,0,0,Asir,android,56,0.623
E000109,treatment,0,0.797,194.0,0,0,Asir,web,32,0.861
E000110,control,0,0.722,96.0,0,0,Hail,ios,51,0.703
E000111,control,0,0.241,123.0,0,1,Makkah,android,42,0.3
E000112,control,1,0.613,153.0,0,0,Riyadh,android,55,0.654
E000113,treatment,0,0.384,89.0,0,0,Makkah,web,46,0.315
E000114,treatment,1,0.748,102.0,0,0,Jazan,ios,36,0.868
E000115,treatment,0,0.381,159.0,0,0,Asir,android,58,0.408
E000116,treatment,1,0.403,128.0,0,0,Eastern,android,41,0.519
E000117,control,1,0.73,117.0,0,1,Makkah,android,64,0.875
E000118,control,0,0.293,146.0,0,0,Makkah,android,24,0.19
E000119,treatment,1,0.408,208.0,0,0,Riyadh,web,19,0.252
E000120,control,1,0.799,125.0,0,0,Makkah,android,59,0.668
E000121,treatment,0,0.554,170.0,0,0,Makkah,web,29,0.584
E000122,treatment,1,0.399,105.0,0,0,Madinah,ios,63,0.362
E000123,control,1,0.598,79.0,0,0,Asir,ios,46,0.732
E000124,control,1,0.474,193.0,1,1,Eastern,android,67,0.514
E000125,treatment,1,0.461,211.0,0,0,Jazan,android,39,0.405
E000126,treatment,1,0.252,110.0,0,0,Makkah,web,29,0.291
E000127,treatment,0,0.319,113.0,0,0,Eastern,android,23,0.453
E000128,control,1,0.601,188.0,0,0,Makkah,android,35,0.415
E000129,treatment,1,0.619,217.0,0,0,Eastern,web,68,0.664
E000130,treatment,1,0.64,103.0,0,0,Makkah,ios,46,0.559
E000131,control,0,0.486,175.0,0,1,Riyadh,web,26,0.537
E000132,treatment,1,0.646,122.0,0,0,Al Jawf,ios,28,0.571
E000133,treatment,1,0.511,82.0,0,0,Tabuk,android,59,0.671
E000134,control,1,0.358,273.0,0,1,Al Bahah,android,24,0.322
E000135,control,0,0.308,144.0,0,0,Eastern,ios,58,0.188
E000136,treatment,0,0.457,224.0,0,0,Hail,ios,48,0.283
E000137,control,0,0.438,153.0,0,0,Riyadh,ios,57,0.428
E000138,control,0,0.239,161.0,0,0,Riyadh,android,37,0.154
E000139,treatment,0,0.205,130.0,0,0,Riyadh,android,67,0.297
E000140,control,0,0.466,81.0,0,0,Eastern,android,25,0.462
E000141,treatment,0,0.662,132.0,0,0,Makkah,android,61,0.669
E000142,treatment,0,0.467,206.0,0,0,Riyadh,android,30,0.517
E000143,control,1,0.276,113.0,0,0,Asir,ios,63,0.187
E000144,treatment,1,0.319,295.0,0,0,Al Bahah,android,59,0.345
E000145,control,0,0.65,195.0,0,0,Riyadh,ios,20,0.751
E000146,control,1,0.347,130.0,0,0,Eastern,android,37,0.3
E000147,control,1,0.645,129.0,0,0,Makkah,android,49,0.558
E000148,control,1,0.782,189.0,0,0,Riyadh,ios,34,0.734
E000149,control,0,0.635,160.0,0,0,Riyadh,android,63,0.734
E000150,treatment,1,0.672,221.0,0,0,Makkah,android,55,0.768
E000151,treatment,0,0.633,154.0,0,0,Jazan,web,37,0.441
E000152,control,0,0.635,124.0,0,0,Madinah,web,61,0.808
E000153,treatment,1,0.714,133.0,0,0,Makkah,web,29,0.806
E000154,control,1,0.652,202.0,0,0,Eastern,android,59,0.886
E000155,treatment,1,0.602,80.0,0,0,Makkah,ios,69,0.534
E000156,treatment,1,0.739,84.0,0,0,Northern Borders,android,49,0.757
E000157,control,0,0.226,202.0,0,0,Makkah,android,47,0.294
E000158,control,1,0.625,203.0,0,0,Riyadh,android,31,0.622
E000159,control,1,0.828,175.0,0,0,Riyadh,ios,69,0.883
E000160,control,1,0.547,63.0,0,0,Al Jawf,android,24,0.64
E000161,control,1,0.491,113.0,0,0,Najran,android,56,0.52
E000162,treatment,1,0.681,166.0,0,0,Riyadh,ios,51,0.646
E000163,treatment,1,0.295,106.0,0,0,Makkah,android,23,0.322
E000164,control,0,0.504,193.0,1,0,Eastern,android,39,0.598
E000165,treatment,1,0.462,171.0,0,0,Al Jawf,web,30,0.442
E000166,treatment,0,0.383,114.0,1,0,Makkah,android,51,0.429
E000167,treatment,0,0.189,169.0,0,0,Riyadh,android,54,0.301
E000168,control,0,0.576,207.0,0,0,Eastern,ios,23,0.642
E000169,treatment,1,0.7,116.0,0,0,Hail,android,47,0.794
E000170,control,0,0.655,171.0,0,0,Riyadh,web,37,0.607
E000171,control,1,0.421,112.0,0,0,Riyadh,ios,31,0.486
E000172,treatment,0,0.255,123.0,0,0,Riyadh,ios,68,0.381
E000173,control,1,0.463,145.0,0,1,Asir,android,40,0.324
E000174,control,1,0.545,209.0,0,0,Eastern,ios,42,0.578
E000175,treatment,0,0.513,157.0,0,0,Makkah,web,46,0.535
E000176,treatment,1,0.474,152.0,0,0,Eastern,ios,60,0.393
E000177,control,1,0.53,131.0,0,0,Eastern,web,51,0.491
E000178,treatment,0,0.482,189.0,0,0,Eastern,android,67,0.269
E000179,control,1,0.855,226.0,0,0,Eastern,android,68,0.883
E000180,control,1,0.685,88.0,0,0,Jazan,android,27,0.695
E000181,treatment,0,0.489,69.0,0,0,Makkah,ios,58,0.678
E000182,control,1,0.764,177.0,0,0,Riyadh,android,33,0.798
E000183,control,1,0.719,134.0,0,0,Al Jawf,web,34,0.891
E000184,treatment,0,0.611,79.0,0,0,Tabuk,ios,22,0.572
E000185,treatment,1,0.431,259.0,0,0,Al Jawf,android,57,0.417
E000186,treatment,1,0.891,124.0,0,0,Riyadh,android,30,0.924
E000187,treatment,0,0.599,99.0,0,0,Eastern,android,35,0.76
E000188,control,0,0.554,183.0,0,0,Makkah,android,60,0.557
E000189,treatment,1,0.25,266.0,0,0,Riyadh,android,32,0.248
E000190,treatment,0,0.659,173.0,0,0,Madinah,ios,36,0.774
E000191,treatment,1,0.673,102.0,0,0,Makkah,android,61,0.74
E000192,control,0,0.234,228.0,0,0,Asir,android,60,0.213
E000193,control,0,0.569,136.0,0,0,Qassim,android,43,0.664
E000194,control,1,0.973,121.0,0,0,Tabuk,ios,45,0.989
E000195,control,0,0.208,190.0,0,0,Makkah,ios,69,0.206
E000196,control,0,0.274,131.0,0,1,Al Bahah,android,33,0.138
E000197,control,0,0.489,162.0,0,0,Makkah,android,27,0.36
E000198,control,0,0.179,146.0,0,0,Riyadh,ios,46,0.248
E000199,treatment,1,0.557,103.0,0,0,Riyadh,android,20,0.515
E000200,control,0,0.037,160.0,0,0,Madinah,android,52,0.133
E000201,control,0,0.742,238.0,0,0,Hail,android,20,0.773
E000202,control,0,0.599,169.0,0,1,Makkah,web,50,0.591
E000203,control,0,0.58,189.0,0,0,Riyadh,ios,62,0.631
E000204,control,0,0.316,334.0,0,0,Jazan,ios,51,0.241
E000205,treatment,1,0.718,229.0,0,0,Eastern,android,55,0.795
E000206,treatment,1,0.719,159.0,0,0,Jazan,android,51,0.724
E000207,treatment,0,0.645,71.0,0,0,Hail,android,24,0.694
E000208,treatment,1,0.613,151.0,0,0,Madinah,ios,26,0.652
E000209,control,0,0.218,196.0,0,0,Asir,web,26,0.199
E000210,treatment,1,0.349,197.0,0,0,Riyadh,android,22,0.348
E000211,control,1,0.782,164.0,0,0,Riyadh,android,51,0.716
E000212,treatment,1,0.596,142.0,0,0,Eastern,web,51,0.603
E000213,treatment,0,0.785,125.0,0,0,Northern Borders,ios,32,0.804
E000214,treatment,1,0.861,231.0,0,0,Al Jawf,android,51,0.81
E000215,control,1,0.271,233.0,0,1,Makkah,android,48,0.134
E000216,treatment,0,0.379,297.0,0,0,Riyadh,web,43,0.546
E000217,control,0,0.368,76.0,0,0,Riyadh,ios,39,0.233
E000218,control,1,0.419,245.0,0,0,Eastern,web,28,0.318
E000219,control,0,0.495,64.0,0,0,Al Bahah,ios,20,0.373
E000220,treatment,1,0.543,144.0,0,1,Riyadh,ios,30,0.505
E000221,control,0,0.331,195.0,0,0,Makkah,ios,47,0.211
E000222,treatment,1,0.302,114.0,0,0,Qassim,android,54,0.363
E000223,treatment,0,0.243,113.0,0,0,Makkah,android,60,0.234
E000224,control,1,0.828,180.0,0,0,Asir,android,50,0.809
E000225,treatment,0,0.338,206.0,0,0,Riyadh,ios,62,0.227
E000226,control,1,0.501,219.0,1,0,Riyadh,ios,44,0.42
E000227,control,0,0.241,256.0,0,0,Eastern,ios,57,0.299
E000228,treatment,1,0.342,244.0,0,0,Makkah,android,62,0.255
E000229,treatment,0,0.451,113.0,0,0,Makkah,android,30,0.5
E000230,control,0,0.261,136.0,0,1,Makkah,ios,32,0.211
E000231,control,1,0.775,173.0,0,0,Madinah,android,37,0.637
E000232,control,0,0.392,281.0,0,0,Eastern,android,53,0.414
E000233,control,1,0.56,76.0,0,0,Makkah,android,64,0.452
E000234,treatment,0,0.723,98.0,0,0,Makkah,ios,37,0.635
E000235,treatment,1,0.694,136.0,0,0,Jazan,android,41,0.534
E000236,control,0,0.213,210.0,0,0,Makkah,android,49,0.178
E000237,control,0,0.59,162.0,0,0,Asir,ios,61,0.785
E000238,control,1,0.504,103.0,0,0,Eastern,ios,40,0.615
E000239,control,1,0.4,246.0,0,0,Riyadh,android,54,0.294
E000240,treatment,0,0.793,99.0,0,0,Qassim,android,47,0.959
E000241,treatment,0,0.377,218.0,0,1,Jazan,web,18,0.439
E000242,control,1,0.437,111.0,0,0,Northern Borders,android,47,0.262
E000243,treatment,0,0.344,143.0,0,0,Jazan,android,32,0.212
E000244,control,0,0.179,247.0,0,0,Najran,ios,19,0.302
E000245,treatment,0,0.52,152.0,0,0,Eastern,ios,66,0.567
E000246,treatment,0,0.895,129.0,0,0,Makkah,android,62,0.83
E000247,treatment,0,0.771,129.0,0,0,Northern Borders,ios,25,0.786
E000248,treatment,1,0.597,81.0,0,1,Makkah,android,20,0.612
E000249,treatment,1,0.432,195.0,0,0,Riyadh,ios,36,0.504
E000250,treatment,0,0.269,326.0,0,0,Riyadh,web,26,0.085
E000251,treatment,0,0.359,142.0,0,1,Jazan,android,60,0.264
E000252,treatment,0,0.425,195.0,0,0,Riyadh,ios,45,0.416
E000253,treatment,0,0.921,218.0,0,0,Eastern,ios,31,0.917
E000254,control,1,0.752,164.0,0,0,Jazan,ios,62,0.926
E000255,control,1,0.366,286.0,0,1,Tabuk,android,53,0.324
E000256,treatment,1,0.482,138.0,0,0,Makkah,android,63,0.282
E000257,treatment,0,0.515,91.0,0,0,Riyadh,web,35,0.43
E000258,control,1,0.533,103.0,0,0,Makkah,android,24,0.616
E000259,treatment,0,0.281,215.0,0,0,Riyadh,android,54,0.408
E000260,control,0,0.196,192.0,0,0,Riyadh,android,60,0.217
E000261,control,1,0.359,147.0,0,0,Makkah,android,40,0.344
E000262,control,0,0.305,81.0,0,0,Madinah,ios,23,0.221
E000263,treatment,1,0.658,160.0,0,0,Makkah,android,61,0.626
E000264,treatment,1,0.507,96.0,0,0,Makkah,android,45,0.431
E000265,treatment,0,0.403,189.0,0,0,Eastern,ios,20,0.48
E000266,control,1,0.348,162.0,0,0,Makkah,ios,24,0.224
E000267,control,1,0.282,160.0,0,0,Tabuk,ios,58,0.186
E000268,control,0,0.527,122.0,0,0,Eastern,android,54,0.652
E000269,treatment,1,0.641,186.0,0,0,Riyadh,ios,56,0.488
E000270,control,1,0.233,232.0,0,0,Tabuk,android,69,0.297
E000271,control,0,0.165,222.0,0,0,Eastern,ios,55,0.111
E000272,control,1,0.411,226.0,0,0,Riyadh,android,37,0.314
E000273,control,1,0.408,59.0,0,0,Riyadh,android,53,0.448
E000274,control,0,0.392,200.0,0,0,Riyadh,android,65,0.229
E000275,control,1,0.42,74.0,0,0,Makkah,web,24,0.375
E000276,control,0,0.277,160.0,0,0,Makkah,ios,66,0.154
E000277,treatment,1,0.628,331.0,0,0,Qassim,web,37,0.683
E000278,control,1,0.69,156.0,0,0,Makkah,android,52,0.575
E000279,control,1,0.275,136.0,0,0,Qassim,android,55,0.188
E000280,treatment,0,0.162,216.0,0,0,Makkah,ios,43,0.096
E000281,treatment,1,0.32,107.0,0,0,Jazan,android,60,0.355
E000282,control,1,0.538,176.0,0,0,Makkah,ios,58,0.715
E000283,treatment,0,0.279,129.0,0,0,Makkah,android,35,0.303
E000284,control,0,0.455,174.0,0,0,Hail,android,62,0.47
E000285,treatment,1,0.477,107.0,0,0,Makkah,android,31,0.488
E000286,treatment,1,0.627,152.0,0,0,Riyadh,ios,45,0.659
E000287,treatment,0,0.404,172.0,0,0,Makkah,ios,49,0.478
E000288,control,1,0.712,160.0,0,0,Riyadh,android,31,0.816
E000289,control,0,0.16,270.0,0,0,Madinah,android,44,0.03
E000290,control,0,0.336,129.0,0,0,Riyadh,ios,36,0.473
E000291,control,0,0.168,183.0,0,0,Najran,android,63,0.083
E000292,treatment,0,0.521,214.0,0,0,Jazan,android,44,0.551
E000293,control,0,0.25,266.0,0,0,Makkah,android,66,0.304
E000294,treatment,0,0.595,91.0,0,0,Riyadh,ios,60,0.605
E000295,treatment,1,0.354,259.0,0,0,Riyadh,android,61,0.249
E000296,control,1,0.777,201.0,0,0,Makkah,android,55,0.782
E000297,control,0,0.294,348.0,0,0,Eastern,android,31,0.23
E000298,control,1,0.684,171.0,0,0,Tabuk,android,39,0.675
E000299,control,0,0.513,236.0,0,0,Al Bahah,android,44,0.533
E000300,control,1,0.4,165.0,0,0,Asir,android,35,0.302
E000301,treatment,1,0.781,151.0,0,0,Asir,android,68,0.778
E000302,control,1,0.63,266.0,0,0,Riyadh,ios,33,0.457
E000303,treatment,0,0.235,128.0,0,0,Makkah,ios,52,0.351
E000304,treatment,0,0.293,180.0,0,0,Makkah,android,30,0.239
E000305,treatment,1,0.883,95.0,0,0,Najran,android,49,0.804
E000306,treatment,1,0.529,173.0,0,0,Eastern,android,20,0.505
E000307,treatment,0,0.562,280.0,0,0,Makkah,ios,21,0.439
E000308,control,1,0.336,282.0,0,0,Al Bahah,web,36,0.293
E000309,control,0,0.205,205.0,0,0,Al Bahah,android,36,0.08
E000310,control,0,0.677,200.0,0,1,Madinah,android,68,0.677
E000311,treatment,0,0.597,150.0,0,0,Eastern,web,51,0.689
E000312,control,1,0.725,138.0,0,0,Qassim,web,44,0.702
E000313,treatment,1,0.374,99.0,1,1,Makkah,ios,29,0.273
E000314,control,0,0.448,235.0,0,0,Makkah,android,41,0.424
E000315,control,1,0.393,177.0,0,0,Eastern,ios,38,0.352
E000316,control,1,0.773,95.0,0,1,Hail,android,26,0.807
E000317,treatment,0,0.188,101.0,0,0,Riyadh,android,46,0.083
E000318,treatment,0,0.628,104.0,0,1,Asir,android,25,0.663
E000319,treatment,1,0.754,229.0,0,0,Asir,android,20,0.744
E000320,control,0,0.632,193.0,0,0,Eastern,android,52,0.659
E000321,control,0,0.722,169.0,0,0,Jazan,web,38,0.609
E000322,control,0,0.386,126.0,0,0,Madinah,android,20,0.366
E000323,treatment,1,0.439,111.0,0,0,Riyadh,android,43,0.564
E000324,treatment,1,0.476,103.0,0,0,Makkah,web,54,0.338
E000325,control,0,0.465,179.0,0,0,Al Jawf,android,61,0.377
E000326,control,1,0.697,229.0,0,0,Makkah,android,32,0.705
E000327,control,1,0.613,223.0,0,0,Hail,ios,53,0.593
E000328,treatment,0,0.609,129.0,0,0,Jazan,ios,39,0.626
E000329,control,0,0.243,163.0,0,0,Makkah,android,26,0.257
E000330,treatment,1,0.464,191.0,0,0,Al Bahah,ios,34,0.546
E000331,treatment,0,0.308,147.0,0,0,Eastern,android,61,0.336
E000332,control,1,0.58,254.0,0,0,Makkah,web,56,0.692
E000333,control,0,0.332,132.0,0,0,Makkah,web,26,0.244
E000334,treatment,0,0.415,161.0,0,0,Eastern,ios,60,0.347
E000335,treatment,1,0.835,124.0,0,0,Riyadh,ios,35,0.973
E000336,treatment,0,0.501,221.0,0,0,Riyadh,android,68,0.458
E000337,control,0,0.256,177.0,0,0,Madinah,web,52,0.277
E000338,control,0,0.908,145.0,0,0,Al Jawf,android,33,0.891
E000339,control,1,0.911,149.0,0,0,Makkah,ios,54,0.802
E000340,treatment,1,0.684,315.0,0,0,Makkah,ios,68,0.746
E000341,control,0,0.348,115.0,0,0,Eastern,ios,52,0.166
E000342,treatment,1,0.706,126.0,0,0,Tabuk,android,62,0.629
E000343,control,0,0.505,107.0,0,0,Najran,ios,47,0.308
E000344,control,1,0.257,167.0,0,1,Makkah,android,68,0.288
E000345,control,0,0.289,155.0,0,0,Qassim,ios,20,0.325
E000346,treatment,0,0.653,295.0,0,0,Asir,ios,22,0.826
E000347,control,0,0.417,177.0,0,1,Hail,android,61,0.467
E000348,treatment,0,0.704,172.0,0,0,Riyadh,web,50,0.697
E000349,control,1,0.414,350.0,0,0,Eastern,ios,23,0.413
E000350,control,0,0.119,140.0,0,0,Qassim,ios,35,0.153
E000351,control,0,0.197,224.0,0,1,Riyadh,ios,44,0.148
E000352,control,1,0.947,115.0,0,0,Eastern,android,47,0.806
E000353,control,0,0.616,258.0,0,0,Riyadh,ios,44,0.621
E000354,control,1,0.403,179.0,0,0,Jazan,android,25,0.473
E000355,treatment,1,0.62,189.0,0,0,Riyadh,ios,50,0.585
E000356,treatment,1,0.673,92.0,0,0,Makkah,android,48,0.731
E000357,control,1,0.891,171.0,0,1,Qassim,android,63,0.943
E000358,treatment,0,0.17,139.0,0,0,Riyadh,android,41,0.221
E000359,treatment,0,0.404,139.0,0,0,Eastern,android,25,0.348
E000360,control,1,0.643,125.0,0,0,Asir,web,67,0.803
E000361,control,1,0.673,255.0,0,0,Madinah,android,68,0.678
E000362,treatment,0,0.736,171.0,0,0,Qassim,web,33,0.897
E000363,control,0,0.435,141.0,0,0,Makkah,web,21,0.385
E000364,treatment,0,0.356,88.0,0,0,Eastern,android,35,0.548
E000365,control,1,0.756,69.0,1,1,Makkah,android,20,0.889
E000366,treatment,1,0.649,232.0,1,0,Makkah,android,60,0.782
E000367,control,1,0.788,182.0,0,0,Asir,ios,43,0.794
E000368,control,1,0.592,93.0,0,0,Makkah,android,69,0.643
E000369,treatment,1,0.749,197.0,0,0,Qassim,ios,68,0.674
E000370,treatment,0,0.583,172.0,0,0,Qassim,android,43,0.525
E000371,control,1,0.517,154.0,0,0,Riyadh,android,51,0.519
E000372,control,1,0.909,164.0,0,0,Riyadh,android,41,0.852
E000373,treatment,0,0.544,111.0,0,0,Makkah,web,39,0.337
E000374,treatment,0,0.288,173.0,0,0,Jazan,android,48,0.221
E000375,treatment,0,0.227,128.0,1,0,Riyadh,android,32,0.231
E000376,treatment,0,0.3,434.0,0,0,Eastern,ios,67,0.241
E000377,treatment,1,0.585,134.0,0,0,Riyadh,android,67,0.641
E000378,control,0,0.337,148.0,0,0,Jazan,web,36,0.16
E000379,treatment,1,0.215,154.0,0,0,Makkah,android,66,0.1
E000380,treatment,1,0.426,194.0,0,1,Riyadh,ios,31,0.335
E000381,treatment,1,0.723,113.0,0,0,Makkah,ios,25,0.68
E000382,control,1,0.652,129.0,0,0,Makkah,ios,53,0.735
E000383,control,1,0.498,119.0,0,0,Riyadh,ios,19,0.557
E000384,treatment,1,0.591,338.0,0,0,Hail,android,56,0.581
E000385,control,1,0.811,103.0,0,0,Riyadh,ios,63,0.935
E000386,treatment,1,0.34,240.0,0,0,Makkah,android,65,0.136
E000387,treatment,1,0.888,134.0,0,0,Makkah,ios,19,0.842
E000388,treatment,0,0.412,187.0,0,0,Makkah,android,50,0.166
E000389,treatment,1,0.324,179.0,0,0,Eastern,android,67,0.394
E000390,control,0,0.592,104.0,0,0,Makkah,android,69,0.814
E000391,treatment,0,0.205,182.0,0,0,Eastern,ios,39,0.23
E000392,treatment,1,0.784,157.0,0,0,Makkah,ios,58,0.711
E000393,control,0,0.451,189.0,0,0,Hail,ios,57,0.397
E000394,treatment,0,0.555,123.0,0,0,Jazan,android,42,0.719
E000395,treatment,0,0.219,81.0,0,0,Qassim,android,49,0.299
E000396,control,1,0.632,103.0,0,0,Al Bahah,android,57,0.613
E000397,control,0,0.297,274.0,0,0,Makkah,android,34,0.22
E000398,treatment,0,0.498,189.0,0,0,Makkah,android,62,0.6
E000399,control,0,0.419,169.0,0,0,Najran,ios,19,0.475
E000400,control,0,0.544,185.0,0,0,Riyadh,android,53,0.623
