user_id,age,digital_literacy,region,region_code,prior_completions,device_age,distance_km,online_filing,enrolled,support_calls,completed
U000053,58,0.57,Tabuk,6,2,0.6,24.9,1,0,0,1
U000054,28,0.531,Riyadh,0,4,2.1,41.6,1,1,1,1
U000055,50,0.322,Riyadh,0,6,1.6,2.6,1,1,3,1
U000056,20,0.176,Eastern,4,2,0.6,11.5,1,1,3,1
U000057,38,0.639,Madinah,2,1,1.1,85.3,1,0,0,1
U000058,52,0.207,Makkah,1,3,2.8,15.8,1,0,2,0
U000059,30,0.185,Qassim,3,1,1.7,18.3,1,0,0,0
U000060,33,0.322,Madinah,2,4,1.6,29.5,1,0,0,1
U000061,33,0.48,Asir,5,2,1.5,17.2,1,1,2,1
U000062,40,0.333,Eastern,4,2,3.5,54.5,1,1,0,1
U000063,68,0.593,Makkah,1,3,3.0,29.8,1,0,2,1
U000064,60,0.664,Eastern,4,5,1.6,8.5,1,1,1,1
U000065,44,0.621,Makkah,1,3,2.3,17.1,0,1,3,0
U000066,61,0.965,Makkah,1,3,0.0,43.9,1,1,0,0
U000067,49,0.623,Asir,5,2,0.7,74.1,1,1,1,1
U000068,43,0.547,Tabuk,6,2,2.6,4.4,1,0,1,1
U000069,47,0.529,Riyadh,0,2,1.7,18.3,1,0,0,0
U000070,61,0.818,Qassim,3,1,1.4,20.6,1,0,0,0
U000071,58,0.54,Riyadh,0,6,1.7,11.9,0,1,0,1
U000072,22,0.449,Eastern,4,2,0.4,56.6,1,0,0,1
U000073,35,0.486,Asir,5,7,0.4,37.3,1,1,1,1
U000074,24,0.764,Al Jawf,12,3,2.3,20.7,1,0,0,1
U000075,53,0.075,Eastern,4,0,3.2,4.0,1,0,0,1
U000076,67,0.67,Makkah,1,3,1.1,13.2,1,0,2,0
U000077,61,0.334,Riyadh,0,0,1.6,6.6,1,0,0,1
U000078,67,0.309,Hail,7,7,3.0,16.2,1,0,2,0
U000079,27,0.699,Makkah,1,2,0.7,1.7,1,0,0,1
U000080,68,0.528,Asir,5,4,0.9,21.1,1,0,0,1
U000081,22,0.771,Najran,10,3,1.0,28.6,0,0,0,0
U000082,62,0.82,Najran,10,1,0.4,13.7,1,0,1,1
U000083,38,0.941,Riyadh,0,4,1.1,59.8,1,1,1,1
U000084,22,0.372,Eastern,4,2,2.7,47.5,1,0,2,0
U000085,59,0.455,Qassim,3,3,1.8,7.3,1,1,0,0
U000086,27,0.615,Tabuk,6,2,0.4,33.0,1,1,0,0
U000087,56,0.162,Riyadh,0,1,3.2,11.8,1,0,3,0
U000088,25,0.482,Najran,10,6,3.4,35.6,1,0,0,1
U000089,19,0.363,Asir,5,2,2.1,30.4,1,0,2,0
U000090,40,0.463,Asir,5,2,2.3,4.3,1,0,1,1
U000091,41,0.282,Riyadh,0,1,2.2,4.8,1,0,4,1
U000092,44,0.842,Makkah,1,5,1.5,36.6,1,1,2,1
U000093,19,0.786,Eastern,4,4,4.0,3.3,1,1,1,1
U000094,33,0.647,Makkah,1,6,3.7,2.4,1,1,0,1
U000095,57,0.575,Najran,10,4,2.0,11.1,1,1,3,1
U000096,53,0.801,Riyadh,0,7,2.6,8.5,1,1,0,1
U000097,53,0.234,Eastern,4,2,2.2,6.2,0,1,1,1
U000098,41,0.454,Riyadh,0,4,1.4,29.9,1,0,0,0
U000099,28,0.528,Makkah,1,3,0.0,25.6,0,1,0,1
U000100,28,0.779,Makkah,1,3,0.7,30.5,1,0,1,1
U000101,56,0.147,Makkah,1,3,5.1,36.9,1,0,1,1
U000102,20,0.423,Riyadh,0,4,3.8,3.8,1,0,2,1
U000103,52,0.686,Makkah,1,3,0.8,21.1,1,1,1,0
U000104,21,0.089,Qassim,3,4,2.8,8.9,1,0,1,1
U000105,31,0.165,Eastern,4,2,2.1,52.3,0,0,0,0
U000106,58,0.807,Hail,7,5,1.2,13.6,1,0,1,0
U000107,61,0.257,Jazan,9,2,3.4,32.8,1,0,0,0
U000108,23,0.626,Riyadh,0,3,0.0,12.7,0,1,2,1
U000109,62,0.194,Jazan,9,3,2.0,24.9,1,0,2,0
U000110,50,0.847,Riyadh,0,6,1.4,37.1,1,1,1,0
U000111,44,0.363,Eastern,4,7,3.1,59.2,1,0,0,0
U000112,48,0.543,Riyadh,0,7,1.7,16.6,0,1,0,1
U000113,57,0.591,Makkah,1,3,2.1,15.5,1,1,1,1
U000114,31,0.333,Riyadh,0,3,2.3,17.9,1,0,1,1
U000115,53,0.593,Najran,10,1,2.0,14.2,1,0,1,0
U000116,64,0.315,Hail,7,4,0.0,66.1,1,1,0,0
U000117,52,0.29,Tabuk,6,1,0.3,17.0,1,0,2,0
U000118,29,0.608,Makkah,1,4,2.0,28.8,1,1,1,1
U000119,45,0.602,Asir,5,4,0.5,39.3,1,1,1,1
U000120,25,0.547,Jazan,9,2,1.7,13.9,1,1,1,0
U000121,39,0.465,Eastern,4,1,3.2,43.1,1,1,0,1
U000122,52,0.09,Riyadh,0,1,4.3,69.0,1,0,0,0
U000123,45,0.724,Eastern,4,7,1.6,91.6,1,1,1,1
U000124,36,0.853,Riyadh,0,3,0.0,4.9,1,0,0,1
U000125,42,0.143,Eastern,4,1,5.3,6.3,1,0,0,0
U000126,37,0.438,Qassim,3,3,1.2,18.7,0,1,0,1
U000127,64,0.923,Riyadh,0,6,1.4,12.8,1,1,0,1
U000128,49,0.311,Madinah,2,5,2.2,17.0,1,0,0,1
U000129,39,0.125,Qassim,3,0,2.8,23.6,1,0,1,0
U000130,30,0.421,Al Jawf,12,1,1.2,41.3,1,0,1,1
U000131,25,0.665,Eastern,4,5,0.1,48.8,1,1,0,0
U000132,58,0.284,Eastern,4,2,2.2,36.8,1,0,2,1
U000133,63,0.222,Makkah,1,4,2.8,6.4,0,0,1,0
U000134,28,0.785,Eastern,4,6,3.8,41.4,1,1,2,1
U000135,23,0.701,Riyadh,0,4,2.7,10.3,1,1,0,0
U000136,56,0.671,Makkah,1,3,2.6,12.4,1,0,0,1
U000137,23,0.555,Makkah,1,2,0.5,9.4,0,1,1,1
U000138,37,0.479,Makkah,1,1,2.9,8.9,1,1,3,1
U000139,62,0.438,Eastern,4,1,2.2,30.1,1,1,0,1
U000140,53,0.123,Eastern,4,2,1.1,16.8,1,1,2,1
U000141,36,0.872,Asir,5,3,0.9,17.6,1,1,0,1
U000142,20,0.311,Al Jawf,12,4,3.0,15.8,1,0,2,0
U000143,62,0.771,Qassim,3,4,1.2,48.2,1,1,1,1
U000144,57,0.48,Makkah,1,3,1.7,27.3,1,0,1,1
U000145,51,0.631,Makkah,1,5,0.0,17.5,1,0,0,1
U000146,49,0.535,Riyadh,0,5,2.4,32.5,1,0,0,1
U000147,40,0.255,Makkah,1,0,1.6,16.7,1,0,1,0
U000148,42,0.549,Riyadh,0,3,0.0,19.0,0,0,3,0
U000149,19,0.45,Riyadh,0,0,2.6,15.6,1,0,1,0
U000150,51,0.654,Eastern,4,0,0.7,10.9,1,1,5,1
U000151,55,0.158,Riyadh,0,2,2.8,25.5,1,1,1,1
U000152,47,0.162,Makkah,1,5,3.7,36.4,1,0,2,1
U000153,35,0.315,Northern Borders,8,3,2.2,7.1,1,0,0,0
U000154,43,0.035,Makkah,1,1,5.3,83.6,1,1,0,0
U000155,21,0.807,Riyadh,0,3,2.0,9.6,1,1,1,1
U000156,68,0.457,Eastern,4,2,2.9,31.7,1,0,3,1
U000157,58,0.214,Asir,5,0,2.1,18.8,1,0,2,1
U000158,67,0.392,Makkah,1,2,2.4,20.0,1,1,2,0
U000159,59,0.373,Hail,7,2,1.1,25.3,0,0,1,0
U000160,22,0.249,Eastern,4,1,2.6,15.2,0,0,0,0
U000161,29,0.433,Hail,7,4,0.0,63.1,1,1,4,0
U000162,49,0.66,Eastern,4,4,1.0,26.3,1,1,0,1
U000163,42,0.489,Eastern,4,7,1.3,5.4,1,1,1,0
U000164,30,0.784,Jazan,9,0,0.0,20.6,1,1,2,1
U000165,29,0.846,Makkah,1,1,2.6,39.7,1,1,1,1
U000166,32,0.761,Al Bahah,11,5,1.8,20.6,0,1,3,1
U000167,42,0.825,Al Bahah,11,4,0.7,5.8,0,1,1,0
U000168,34,0.125,Eastern,4,5,1.1,33.1,1,0,0,0
U000169,30,0.494,Eastern,4,4,3.0,24.3,1,1,2,1
U000170,61,0.763,Eastern,4,1,1.7,5.8,1,0,0,1
U000171,39,0.611,Makkah,1,4,1.8,7.5,1,0,0,1
U000172,61,0.471,Al Bahah,11,3,3.8,56.8,1,1,0,1
U000173,40,0.657,Qassim,3,2,0.0,63.4,1,0,0,0
U000174,62,0.375,Makkah,1,3,0.7,8.4,1,1,1,1
U000175,47,0.335,Al Jawf,12,7,4.1,19.3,1,1,0,0
U000176,66,0.4,Eastern,4,1,1.4,11.8,0,0,1,1
U000177,56,0.341,Riyadh,0,2,3.3,14.4,0,0,2,0
U000178,41,0.694,Makkah,1,2,2.8,50.2,1,0,0,1
U000179,62,0.592,Madinah,2,6,1.9,12.2,0,1,3,1
U000180,54,0.061,Madinah,2,3,2.5,26.8,1,0,0,1
U000181,21,0.67,Northern Borders,8,4,0.5,44.0,1,1,0,1
U000182,39,0.274,Makkah,1,3,0.8,25.5,1,0,1,0
U000183,35,0.587,Riyadh,0,1,1.9,40.3,1,1,1,1
U000184,48,0.846,Riyadh,0,4,1.7,17.0,1,0,0,1
U000185,35,0.654,Riyadh,0,5,0.5,77.4,1,1,1,1
U000186,53,0.281,Riyadh,0,5,2.4,23.6,1,0,0,1
U000187,65,0.773,Riyadh,0,1,0.5,3.9,1,1,1,0
U000188,35,0.424,Riyadh,0,2,3.9,12.0,1,1,0,1
U000189,36,0.081,Eastern,4,2,4.8,37.6,0,0,0,0
U000190,34,0.026,Riyadh,0,0,1.4,5.1,1,0,0,1
U000191,65,0.609,Riyadh,0,3,3.0,60.7,1,1,3,1
U000192,65,0.74,Riyadh,0,3,0.8,20.7,1,0,0,1
U000193,29,0.322,Makkah,1,2,1.9,4.1,0,1,1,1
U000194,51,0.316,Hail,7,3,1.9,25.1,1,0,0,0
U000195,21,0.168,Madinah,2,2,2.0,11.0,1,0,1,0
U000196,32,0.796,Eastern,4,3,3.1,14.7,1,0,0,1
U000197,32,0.684,Riyadh,0,0,1.5,22.3,1,0,0,0
U000198,40,0.6,Eastern,4,4,1.9,18.9,0,0,0,1
U000199,53,0.665,Eastern,4,4,0.2,22.1,1,1,1,1
U000200,59,0.537,Madinah,2,1,0.4,28.8,0,0,0,0
U000201,56,0.274,Eastern,4,0,4.8,10.4,0,0,0,0
U000202,29,0.789,Hail,7,3,1.8,13.4,0,1,1,0
U000203,43,0.607,Al Jawf,12,5,2.6,16.1,1,1,0,1
U000204,45,0.215,Hail,7,2,2.5,51.4,1,0,0,1
U000205,30,0.538,Najran,10,8,0.8,11.6,1,1,0,0
U000206,54,0.137,Eastern,4,3,2.1,51.6,1,0,0,1
U000207,63,0.174,Al Jawf,12,1,2.2,37.0,1,1,1,1
U000208,20,0.709,Riyadh,0,4,0.6,14.7,0,1,4,1
U000209,32,0.429,Riyadh,0,2,2.9,55.0,1,0,1,1
U000210,56,0.592,Najran,10,3,0.0,40.9,1,1,1,1
U000211,44,0.964,Asir,5,4,0.6,36.0,1,0,0,0
U000212,53,0.295,Tabuk,6,3,1.0,34.6,1,1,2,1
U000213,22,0.334,Riyadh,0,4,2.1,11.5,1,0,0,1
U000214,25,0.409,Riyadh,0,4,1.7,27.1,0,0,1,1
U000215,49,0.491,Riyadh,0,0,2.2,37.2,1,0,0,0
U000216,18,0.241,Northern Borders,8,2,1.6,14.3,1,0,1,1
U000217,56,0.441,Riyadh,0,1,1.4,2.2,1,1,1,1
U000218,42,0.28,Eastern,4,2,2.5,16.0,0,1,2,1
U000219,66,0.238,Makkah,1,1,0.1,9.6,1,0,0,1
U000220,19,0.259,Eastern,4,0,5.1,23.1,1,0,0,1
U000221,38,0.213,Najran,10,4,3.6,39.5,1,0,0,1
U000222,32,0.277,Riyadh,0,1,3.8,25.3,1,0,1,0
U000223,54,0.236,Eastern,4,2,1.8,52.4,1,0,1,1
U000224,24,0.37,Riyadh,0,3,2.4,30.9,1,1,0,0
U000225,64,0.832,Eastern,4,3,2.0,6.1,1,1,1,1
U000226,50,0.695,Madinah,2,2,0.0,9.4,1,1,1,1
U000227,37,0.569,Tabuk,6,3,1.7,14.2,0,1,2,1
U000228,57,0.716,Tabuk,6,6,3.1,28.5,0,0,0,0
U000229,65,0.216,Al Jawf,12,3,2.4,18.8,0,0,0,0
U000230,40,0.678,Riyadh,0,4,0.8,31.9,1,0,1,0
U000231,43,0.56,Makkah,1,4,1.6,21.3,1,0,1,1
U000232,44,0.413,Najran,10,4,1.2,16.9,0,1,7,1
U000233,37,0.847,Eastern,4,2,2.3,18.4,1,0,2,1
U000234,49,0.757,Makkah,1,2,0.0,50.2,1,1,0,1
U000235,34,0.621,Eastern,4,2,1.0,4.8,1,0,2,1
U000236,60,0.856,Tabuk,6,7,1.8,11.7,1,1,0,1
U000237,47,0.619,Riyadh,0,7,2.4,40.2,1,1,0,1
U000238,55,0.427,Makkah,1,2,2.4,14.7,1,1,2,1
U000239,18,0.614,Riyadh,0,3,1.2,78.8,1,1,1,1
U000240,39,0.75,Riyadh,0,2,0.2,23.5,1,0,3,1
U000241,63,0.695,Asir,5,1,2.7,81.8,1,1,0,0
U000242,64,0.351,Makkah,1,4,1.7,43.4,1,0,0,1
U000243,50,0.096,Jazan,9,2,1.9,47.5,0,1,2,1
U000244,40,0.715,Eastern,4,8,1.1,34.5,1,0,0,1
U000245,52,0.949,Riyadh,0,4,2.1,48.5,1,1,0,1
U000246,33,0.547,Makkah,1,3,1.6,9.6,1,0,0,0
U000247,36,0.635,Al Bahah,11,9,3.8,26.0,1,1,0,1
U000248,44,0.803,Riyadh,0,6,1.6,21.1,1,1,3,1
U000249,27,0.474,Riyadh,0,4,1.4,6.3,1,0,0,1
U000250,38,0.731,Makkah,1,2,2.0,9.0,0,0,2,1
U000251,19,0.081,Najran,10,2,3.3,30.5,1,0,1,0
U000252,51,0.362,Eastern,4,1,2.6,10.9,1,0,0,1
U000253,65,0.89,Riyadh,0,2,2.3,15.2,1,1,2,1
U000254,24,0.173,Riyadh,0,2,3.1,8.6,0,0,1,1
U000255,50,0.285,Eastern,4,1,3.8,18.9,1,0,1,1
U000256,54,0.91,Makkah,1,6,2.9,34.7,1,1,2,1
U000257,55,0.173,Riyadh,0,2,1.8,1.7,0,0,0,1
U000258,69,0.2,Eastern,4,2,1.5,12.1,1,0,0,1
U000259,48,0.227,Qassim,3,2,5.4,7.0,0,0,0,1
U000260,52,0.276,Jazan,9,1,4.1,29.6,1,0,2,1
U000261,23,0.831,Makkah,1,2,1.2,18.2,1,0,1,0
U000262,38,0.082,Al Jawf,12,0,2.1,13.1,1,0,0,0
U000263,60,0.108,Eastern,4,3,1.8,30.3,0,0,0,1
U000264,42,0.822,Makkah,1,3,2.9,39.4,1,1,2,1
U000265,53,0.315,Asir,5,2,4.8,26.4,1,1,1,0
U000266,34,0.627,Riyadh,0,5,1.4,32.9,1,1,0,1
U000267,61,0.676,Riyadh,0,4,0.0,3.1,1,1,1,1
U000268,27,0.355,Madinah,2,4,2.5,12.7,0,0,0,1
U000269,39,0.207,Hail,7,3,3.9,11.0,1,0,0,1
U000270,63,0.37,Eastern,4,1,3.0,34.1,1,1,1,1
U000271,19,0.761,Riyadh,0,4,0.7,17.3,1,1,0,1
U000272,57,0.334,Asir,5,7,1.1,20.8,1,1,0,0
U000273,52,0.261,Makkah,1,3,1.7,18.6,1,0,0,1
U000274,31,0.907,Riyadh,0,5,0.0,6.5,1,0,0,1
U000275,64,0.488,Riyadh,0,1,0.7,17.1,1,0,2,1
U000276,67,0.591,Northern Borders,8,4,1.6,13.5,0,0,0,1
U000277,33,0.458,Madinah,2,1,2.1,4.2,1,0,2,1
U000278,33,0.402,Makkah,1,1,2.4,22.6,1,0,0,0
U000279,33,0.202,Qassim,3,2,2.8,6.2,1,1,0,1
U000280,27,0.387,Riyadh,0,1,1.6,27.5,1,0,0,1
U000281,35,0.505,Eastern,4,1,2.9,50.4,1,1,2,1
U000282,37,0.501,Riyadh,0,2,3.4,51.1,1,0,3,0
U000283,55,0.43,Qassim,3,4,2.1,37.2,0,0,0,0
U000284,27,0.784,Makkah,1,3,2.1,13.6,1,1,4,1
U000285,53,0.608,Riyadh,0,8,1.2,22.6,1,0,0,1
U000286,62,0.818,Eastern,4,4,0.9,28.9,1,1,0,1
U000287,61,0.721,Riyadh,0,3,1.0,9.8,1,1,1,1
U000288,57,0.397,Al Bahah,11,3,1.8,11.6,1,0,0,0
U000289,25,0.843,Hail,7,5,0.0,15.5,1,1,1,1
U000290,64,0.459,Makkah,1,2,1.6,26.6,1,0,2,0
U000291,43,0.569,Riyadh,0,5,3.1,40.4,1,0,1,0
U000292,61,0.596,Makkah,1,6,1.3,32.1,0,1,2,0
U000293,69,0.807,Al Jawf,12,3,0.0,52.8,1,1,2,0
U000294,51,0.674,Qassim,3,5,0.0,69.7,1,0,1,1
U000295,39,0.761,Riyadh,0,2,2.2,27.8,1,1,2,1
U000296,68,0.412,Madinah,2,2,2.1,36.5,1,0,0,1
U000297,60,0.984,Makkah,1,6,0.0,14.0,1,0,2,1
U000298,46,0.413,Jazan,9,3,1.3,21.8,1,0,1,1
U000299,67,0.274,Makkah,1,1,3.5,72.0,1,0,2,1
U000300,51,0.209,Tabuk,6,1,2.9,12.6,0,0,0,0
U000301,27,0.319,Riyadh,0,2,2.6,35.2,1,0,1,1
U000302,35,0.409,Qassim,3,3,3.1,18.6,1,1,1,1
U000303,57,0.307,Al Bahah,11,2,3.1,11.7,1,1,0,1
U000304,54,0.891,Asir,5,5,0.7,10.1,1,1,1,1
U000305,54,0.277,Riyadh,0,2,2.0,22.6,1,1,0,1
U000306,49,0.498,Madinah,2,3,2.2,24.3,0,0,0,0
U000307,62,0.39,Riyadh,0,4,3.9,16.1,0,1,0,1
U000308,22,0.622,Eastern,4,3,1.5,14.3,1,1,1,1
U000309,28,0.812,Riyadh,0,5,2.6,49.7,1,1,1,0
U000310,40,0.89,Makkah,1,3,1.6,37.4,1,1,3,1
U000311,38,0.721,Eastern,4,4,1.4,35.4,1,1,1,0
U000312,48,0.276,Makkah,1,3,1.4,28.9,1,1,1,1
U000313,41,0.347,Eastern,4,3,2.8,3.6,1,1,1,0
U000314,56,0.851,Madinah,2,2,1.5,17.1,1,0,1,1
U000315,55,0.644,Jazan,9,4,2.8,31.8,1,1,0,0
U000316,22,0.769,Makkah,1,2,0.0,17.5,0,1,2,1
U000317,34,0.767,Madinah,2,2,0.0,18.9,1,1,2,1
U000318,49,0.607,Riyadh,0,4,2.3,61.5,1,0,1,1
U000319,63,0.773,Makkah,1,4,1.8,36.0,0,1,0,0
U000320,54,0.114,Qassim,3,0,3.6,8.7,0,0,0,0
U000321,43,0.594,Madinah,2,2,1.8,42.3,1,1,1,0
U000322,33,0.09,Jazan,9,3,2.4,61.6,1,0,0,1
U000323,57,0.558,Tabuk,6,2,1.2,5.9,1,1,0,1
U000324,62,0.433,Makkah,1,3,2.0,59.1,1,0,1,0
U000325,43,0.613,Madinah,2,5,2.8,33.0,1,1,1,1
U000326,60,0.539,Makkah,1,4,2.5,28.8,1,0,1,1
U000327,34,0.533,Qassim,3,4,0.9,10.7,1,1,1,1
U000328,66,0.737,Eastern,4,4,0.0,21.3,1,1,1,0
U000329,52,0.123,Riyadh,0,4,2.0,5.1,0,1,2,1
U000330,49,0.302,Riyadh,0,4,2.2,15.4,0,0,0,0
U000331,35,0.737,Makkah,1,2,0.4,31.6,1,0,1,1
U000332,20,0.326,Riyadh,0,1,3.9,23.9,1,0,0,0
U000333,34,0.47,Eastern,4,2,0.0,21.0,1,0,0,0
U000334,65,0.085,Makkah,1,0,3.3,27.1,0,0,0,0
U000335,69,0.372,Eastern,4,2,2.2,24.1,0,0,0,0
U000336,66,0.697,Eastern,4,5,3.1,56.8,1,1,2,1
U000337,69,0.506,Tabuk,6,4,2.0,3.7,1,1,0,1
U000338,51,0.053,Makkah,1,1,2.0,3.6,0,0,1,0
U000339,28,0.482,Tabuk,6,3,0.9,11.5,0,1,0,1
U000340,26,0.414,Madinah,2,1,1.9,25.8,0,1,1,0
U000341,52,0.726,Makkah,1,3,0.0,21.3,1,0,0,0
U000342,48,0.155,Najran,10,1,2.5,21.2,1,0,0,0
U000343,63,0.46,Madinah,2,3,0.5,42.9,1,1,2,1
U000344,26,0.659,Al Jawf,12,3,3.5,41.0,0,1,1,1
U000345,48,0.29,Eastern,4,5,0.8,18.4,0,0,0,0
U000346,68,0.183,Riyadh,0,2,3.9,25.3,1,0,0,1
U000347,56,0.789,Eastern,4,5,0.2,27.2,1,1,0,1
U000348,49,0.62,Makkah,1,3,3.9,27.0,1,0,0,1
U000349,68,0.218,Makkah,1,0,3.7,39.7,1,0,0,1
U000350,36,0.296,Eastern,4,1,2.4,43.1,1,1,1,0
U000351,23,0.654,Riyadh,0,2,0.6,11.3,1,1,0,0
U000352,41,0.715,Madinah,2,4,1.7,13.1,0,1,1,1
U000353,40,0.399,Jazan,9,3,0.8,18.4,1,0,0,0
U000354,60,0.847,Riyadh,0,4,3.6,16.3,1,1,0,0
U000355,46,0.211,Eastern,4,0,0.4,6.8,1,0,0,0
U000356,53,0.172,Makkah,1,5,2.1,19.0,1,0,1,0
U000357,38,0.296,Al Bahah,11,6,3.1,5.9,0,1,0,0
U000358,30,0.452,Madinah,2,2,3.0,16.0,1,0,0,1
U000359,24,0.47,Qassim,3,3,2.1,11.7,1,0,0,1
U000360,41,0.656,Makkah,1,3,0.4,14.9,1,1,1,1
U000361,28,0.361,Riyadh,0,5,3.4,59.0,1,0,2,1
U000362,39,0.718,Eastern,4,6,1.9,6.8,0,1,2,1
U000363,31,0.786,Eastern,4,7,2.5,10.9,1,0,0,1
U000364,42,0.643,Eastern,4,4,2.7,22.2,1,0,0,0
U000365,56,0.112,Eastern,4,1,2.8,14.8,1,0,1,0
U000366,64,0.787,Asir,5,4,0.0,39.1,1,1,0,1
U000367,25,0.733,Riyadh,0,2,0.1,41.3,1,1,0,1
U000368,28,0.505,Hail,7,2,3.2,13.0,1,1,2,0
U000369,58,0.176,Asir,5,4,3.7,4.7,1,1,3,1
U000370,33,0.629,Qassim,3,3,1.0,10.4,1,0,1,1
U000371,58,0.542,Qassim,3,2,1.8,59.0,1,1,1,0
U000372,47,0.493,Al Bahah,11,3,4.6,20.7,0,0,0,0
U000373,51,0.61,Jazan,9,0,1.8,14.3,1,1,0,1
U000374,43,0.243,Makkah,1,4,1.0,6.1,1,0,1,0
U000375,51,0.605,Al Jawf,12,3,0.8,23.3,1,0,0,1
U000376,62,0.659,Eastern,4,4,4.1,20.9,1,1,3,1
U000377,53,0.207,Makkah,1,3,4.8,15.5,1,0,1,0
U000378,48,0.484,Eastern,4,1,3.3,16.6,1,0,0,1
U000379,45,0.504,Riyadh,0,6,0.5,5.4,0,1,2,1
U000380,59,0.603,Makkah,1,2,0.3,9.3,0,0,0,1
U000381,60,0.383,Makkah,1,0,2.8,17.2,1,0,0,1
U000382,23,0.16,Qassim,3,0,2.8,5.6,1,0,1,0
U000383,18,0.841,Tabuk,6,7,0.0,37.2,1,1,2,1
U000384,55,0.829,Najran,10,2,1.1,19.8,1,0,0,1
U000385,36,0.464,Al Jawf,12,7,3.6,0.6,1,1,2,1
U000386,45,0.671,Riyadh,0,5,1.8,3.8,1,1,0,1
U000387,59,0.381,Al Jawf,12,2,3.2,23.3,1,0,1,0
U000388,23,0.718,Jazan,9,4,0.0,30.2,1,0,1,1
U000389,43,0.636,Riyadh,0,4,1.1,6.6,1,1,0,1
U000390,23,0.562,Riyadh,0,3,0.5,12.8,1,1,2,1
U000391,61,0.754,Northern Borders,8,3,0.9,42.7,1,1,0,0
U000392,28,0.641,Riyadh,0,3,1.9,6.2,1,1,1,1
