region,month,activation_month,treated_post,completion_rate,sessions
Northern Borders,2,18,0,0.457,8531
Northern Borders,3,18,0,0.445,19514
Northern Borders,4,18,0,0.4403,5908
Northern Borders,5,18,0,0.4412,28023
Northern Borders,6,18,0,0.4652,9025
Northern Borders,7,18,0,0.4503,15529
Northern Borders,8,18,0,0.4635,23302
Northern Borders,9,18,0,0.4515,25680
Northern Borders,10,18,0,0.4505,24810
Northern Borders,11,18,0,0.4696,11347
Northern Borders,12,18,0,0.4696,28557
Northern Borders,13,18,0,0.4653,17125
Northern Borders,14,18,0,0.5027,16684
Northern Borders,15,18,0,0.5065,18882
Northern Borders,16,18,0,0.5213,28437
Northern Borders,17,18,0,0.507,8017
Northern Borders,18,18,1,0.5319,25927
Northern Borders,19,18,1,0.5216,14644
Northern Borders,20,18,1,0.5383,11567
Northern Borders,21,18,1,0.5204,15709
Northern Borders,22,18,1,0.5229,22205
Northern Borders,23,18,1,0.5285,14688
Northern Borders,24,18,1,0.5493,20103
Jazan,1,18,0,0.5099,13259
Jazan,2,18,0,0.5169,7060
Jazan,3,18,0,0.5411,21696
Jazan,4,18,0,0.5155,21681
Jazan,5,18,0,0.5203,16893
Jazan,6,18,0,0.5228,8094
Jazan,7,18,0,0.5452,7059
Jazan,8,18,0,0.5161,7845
Jazan,9,18,0,0.5081,10832
Jazan,10,18,0,0.5529,20811
Jazan,11,18,0,0.5349,27385
Jazan,12,18,0,0.5555,28654
Jazan,13,18,0,0.5304,4732
Jazan,14,18,0,0.5635,4043
Jazan,15,18,0,0.5619,16429
Jazan,16,18,0,0.5812,12539
Jazan,17,18,0,0.5629,29292
Jazan,18,18,1,0.5949,7212
Jazan,19,18,1,0.6204,7297
Jazan,20,18,1,0.5776,4792
Jazan,21,18,1,0.6094,14787
Jazan,22,18,1,0.6308,15618
Jazan,23,18,1,0.6099,9861
Jazan,24,18,1,0.6161,26180
Najran,1,18,0,0.4775,27488
Najran,2,18,0,0.4973,14122
Najran,3,18,0,0.4849,22259
Najran,4,18,0,0.4994,20323
Najran,5,18,0,0.5053,29052
Najran,6,18,0,0.4817,10110
Najran,7,18,0,0.4654,25660
Najran,8,18,0,0.4822,15599
Najran,9,18,0,0.5051,29775
Najran,10,18,0,0.506,6994
Najran,11,18,0,0.5219,21512
Najran,12,18,0,0.5007,20596
Najran,13,18,0,0.5264,20951
Najran,14,18,0,0.5265,22252
Najran,15,18,0,0.5138,24146
Najran,16,18,0,0.5471,21224
Najran,17,18,0,0.5491,9170
Najran,18,18,1,0.5781,22708
Najran,19,18,1,0.5855,27527
Najran,20,18,1,0.5602,15762
Najran,21,18,1,0.5813,13856
Najran,22,18,1,0.564,27999
Najran,23,18,1,0.5841,9284
Najran,24,18,1,0.5993,12376
Al Bahah,1,-1,0,0.4975,29070
Al Bahah,2,-1,0,0.5124,15452
Al Bahah,3,-1,0,0.4933,8855
Al Bahah,4,-1,0,0.5191,9177
Al Bahah,5,-1,0,0.5023,15047
Al Bahah,6,-1,0,0.491,28083
Al Bahah,7,-1,0,0.4963,27621
Al Bahah,8,-1,0,0.5038,6690
Al Bahah,9,-1,0,0.4912,26592
Al Bahah,10,-1,0,0.5195,19548
Al Bahah,11,-1,0,0.4987,5811
Al Bahah,12,-1,0,0.5185,25351
Al Bahah,13,-1,0,0.5282,24113
Al Bahah,14,-1,0,0.5688,8259
Al Bahah,15,-1,0,0.5718,23286
Al Bahah,16,-1,0,0.557,8827
Al Bahah,17,-1,0,0.5534,28893
Al Bahah,18,-1,0,0.5458,26615
Al Bahah,19,-1,0,0.5504,22886
Al Bahah,20,-1,0,0.5603,10559
Al Bahah,21,-1,0,0.5461,10548
Al Bahah,22,-1,0,0.5721,4251
Al Bahah,23,-1,0,0.5674,21772
Al Bahah,24,-1,0,0.5846,15742
Al Jawf,1,-1,0,0.4153,13360
Al Jawf,2,-1,0,0.386,22359
Al Jawf,3,-1,0,0.4127,26792
Al Jawf,4,-1,0,0.4208,8234
Al Jawf,5,-1,0,0.4068,25229
Al Jawf,6,-1,0,0.4227,16443
Al Jawf,7,-1,0,0.4304,27389
Al Jawf,8,-1,0,0.3948,8400
Al Jawf,9,-1,0,0.4232,11366
Al Jawf,10,-1,0,0.418,19593
Al Jawf,11,-1,0,0.4257,9658
Al Jawf,12,-1,0,0.4406,20206
Al Jawf,13,-1,0,0.4491,14976
Al Jawf,14,-1,0,0.467,4435
Al Jawf,15,-1,0,0.4865,28414
Al Jawf,16,-1,0,0.4868,4987
Al Jawf,17,-1,0,0.4856,22236
Al Jawf,18,-1,0,0.4741,19416
Al Jawf,19,-1,0,0.464,12635
Al Jawf,20,-1,0,0.4495,17419
Al Jawf,21,-1,0,0.4775,22621
Al Jawf,22,-1,0,0.4855,29449
Al Jawf,23,-1,0,0.4735,19564
Al Jawf,24,-1,0,0.4953,10811
